gene1	gene2	cellType	quadrant
0	0	NaturalKillerCells	KO_infected
0	0	TCells1	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells1	KO_infected
0	0	TCells1	KO_infected
0	0	OtherLymphoidCells	KO_infected
1.98198990070124	0	TCells1	KO_infected
1.16199193678717	0	TCells1	KO_infected
0	0	TCells2	KO_infected
0	0	TCells1	KO_infected
0	0	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
1.36051867903109	1.19953449753637	TCells2	KO_infected
0	0.958673424885804	NaturalKillerCells	KO_infected
2.15816137897409	0.928631025873088	TCells2	KO_infected
0	0.77058757150916	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0.95580692783618	NaturalKillerCells	KO_infected
0	0	TCells1	KO_infected
1.83324852086946	3.09180043834831	TCells3	KO_infected
0	1.09185819068431	NaturalKillerCells	KO_infected
0	0	TCells1	KO_infected
0	0	TCells1	KO_infected
2.63666624371176	1.32934023152993	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells2	KO_infected
0	2.27167755553097	NaturalKillerCells	KO_infected
0	1.7906492215288	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	TCells2	KO_infected
0	0	TCells1	KO_infected
2.45511194276363	0	TCells3	KO_infected
2.13023274988216	0	TCells3	KO_infected
2.21622137095176	0	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
2.22589103538186	0.602222611135061	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells2	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
1.87142150649412	0.864736994442579	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
1.46046730918825	0	TCells2	KO_infected
0.946126392927378	0	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
1.77559005238307	0.800179706970087	TCells2	KO_infected
0	0	TCells2	KO_infected
0	1.85015109460893	TCells1	KO_infected
2.13063744077305	0	TCells3	KO_infected
1.41967576081583	0.715524797099931	TCells2	KO_infected
1.21510600060145	0	TCells2	KO_infected
1.7420153106749	0	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0.433828082045197	TCells2	KO_infected
0	1.89617614338118	NaturalKillerCells	KO_infected
1.95492116113613	1.39418342723167	TCells3	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0.911650975380123	0	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0.515386865225301	0	TCells1	KO_infected
0	0	OtherLymphoidCells	KO_infected
2.10802478163348	0	TCells3	KO_infected
0	0	TCells1	KO_infected
0	0	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0.969411842596071	NaturalKillerCells	KO_infected
0.612840167347669	0	TCells2	KO_infected
0	0	TCells1	KO_infected
0	2.36108588265658	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells2	KO_infected
2.38420675886966	0	TCells2	KO_infected
0	0	TCells1	KO_infected
0.809198014154933	0.809198014154933	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0.861093855210809	0	TCells3	KO_infected
0.632826017904375	0	TCells2	KO_infected
1.67082398781751	0.891526174249758	TCells3	KO_infected
0	0	TCells1	KO_infected
1.59061357972945	1.28218467258083	TCells2	KO_infected
0	1.99665209247696	NaturalKillerCells	KO_infected
0	0	TCells1	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0.649497430959885	2.31705822940346	TCells2	KO_infected
0	0.707343405286874	TCells1	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	1.44441962555332	NaturalKillerCells	KO_infected
2.26193204463412	0.970174262540982	TCells2	KO_infected
0	0	OtherLymphoidCells	KO_infected
2.0437969549069	0.985804257381484	TCells2	KO_infected
1.18047195558545	0.64309742538784	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
0	1.92345057614994	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
